ID,Tree,,,,,
1,Clothes,,,,,
2,,Coats,,,,
3,,,Parkas,,,
4,,,Trench Coats,,,
5,,,Cashmere Coats,,,
6,,,Suede coat,,,
7,,,Shearling Coat,,,
8,,,Microfiber Coat,,,
9,,,Wool coats,,,
10,,,Puffer coats,,,
11,,,Short Coats,,,
12,,dresses,,,,
13,,,sport dresses,,,
14,,,,tennis dresses,,
15,,,,dance dresses,,
16,,,Knitted Dresses,,,
17,,,Jersey Dresses,,,
18,,,Summer Dresses,,,
19,,,Dirndl & Costumes,,,
20,,,Bridal Dresses,,,
21,,,Maxi Dresses,,,
22,,,Cocktail Dresses,,,
23,,,Maternity dresses,,,
24,,,Baby Doll,,,
25,,,Formal & Special Occasions,,,
26,,,Jumpers,,,
27,,,Shifts,,,
28,,,Shirtdresses,,,
29,,,Sundresses,,,
30,,,Sweater Dresses,,,
31,,,Tank,,,
32,,,Wrap,,,
33,,,Day-dresses,,,
34,,bibs,,,,
35,,,sport bibs,,,
36,,,,Snowboarding bibs,,
37,,,,Bicycle bibs,,
38,,jerseys,,,,
39,,,sport jerseys,,,
40,,,,basketball jerseys,,
41,,,,bowling jerseys,,
42,,,,climbing jerseys,,
43,,,,football jerseys,,
44,,,,golf jerseys,,
45,,,,running jerseys,,
46,,,,voley ball jerseys,,
47,,,,Bicycle jerseys,,
48,,jackets,,,,
49,,,sport jackets,,,
50,,,,boxing jackets,,
51,,,,cycling jackets,,
52,,,,football jackets,,
53,,,,golf jackets,,
54,,,,hiking jackets,,
55,,,,running jackets,,
56,,,,skateboarding jackets,,
57,,,,Snowboarding jackets,,
58,,,,soccer jackets,,
59,,,,tennis jackets,,
60,,,,Motorcycle Jackets,,
61,,,,golf jackets,,
62,,,Puffers,,,
63,,,Rain & Outdoor Jackets,,,
64,,,Capes,,,
65,,,Blazers,,,
66,,,Athletic Jackets,,,
67,,,Fleece Jackets,,,
68,,,Gilets & Waistcoats,,,
69,,,Lightweight Jackets,,,
70,,,Down Jackets,,,
71,,,Denim Jackets,,,
72,,,Winter Jackets,,,
73,,,Sport Jackets,,,
74,,,Maternity Jackets,,,
75,,,Motorcycle Jackets,,,
76,,,Suede Jackets,,,
77,,,Leather Jacket,,,
78,,,Shearling Jacket,,,
79,,,Microfiber Jacket,,,
80,,skin suits,,,,
81,,,sport skin suits,,,
82,,,,Bicycle skin suits,,
83,,blazers,,,,
84,,cardigan,,,,
85,,hoodies,,,,
86,,,sport hoodies,,,
87,,,,skiing hoodies,,
88,,Pantyhose,,,,
89,,,Maternity Pantyhose,,,
90,,Panties,,,,
91,,,Maternity Panties,,,
92,,Outfits & Sets,,,,
93,,,Maternity outfits & sets,,,
94,,skorts,,,,
95,,Pants,,,,
96,,,sport pants,,,
97,,,,track pants,,
98,,,,golf pants,,
99,,,,rock climbing pants,,
100,,,,yoga pants,,
101,,,,cycling pants,,
102,,,,football pants,,
103,,,,hiking pants,,
104,,,,Ice hokey pants,,
105,,,,skateboarding pants,,
106,,,,Snowboarding pants,,
107,,,,soccer pants,,
108,,,,tennis pants,,
109,,,,Hunting & Tactical Pants,,
110,,,,Motorcycle Pants,,
111,,,Business Pants,,,
112,,,Casual pants,,,
113,,,Joggers,,,
114,,,Rain pants,,,
115,,,Maternity pants,,,
116,,,Cargo-pants,,,
117,,,Carpenter,,,
118,,,Corduroy,,,
119,,,Chinos-and-khakis,,,
120,,,Dress & Formal,,,
121,,,Overalls,,,
122,,,Cropped Pants,,,
123,,,Knits,,,
124,,,Wide-leg pants,,,
125,,,Corduroys,,,
126,,,Overalls pants,,,
127,,jeans,,,,
128,,,Bootcut-jeans,,,
129,,,Cropped-jeans,,,
130,,,Distressed-jeans,,,
131,,,Flare-jeans,,,
132,,,Maternity jeans,,,
133,,,Relaxed-jeans,,,
134,,,Skinny-jeans,,,
135,,,Stretch-jeans,,,
136,,,Slim Jeans,,,
137,,,Straight leg jeans,,,
138,,Jumpsuits,,,,
139,,Rompers,,,,
140,,jumpers,,,,
141,,,Fleece jumpers,,,
142,,Leggings,,,,
143,,shirts,,,,
144,,,sport shirts,,,
145,,,,boxing shirts,,
146,,,,hiking shirts,,
147,,,,cycling shirts,,
148,,,,Ice hokey shirts,,
149,,,,tennis shirts,,
150,,,,basketball shirts,,
151,,,,bowling shirts,,
152,,,,Fitness & Exercise shirts,,
153,,,,golf shirts,,
154,,,,soccer shirts,,
155,,,T-shirts,,,
156,,,,sport t-shirts,,
157,,,,,skiing t shirts,
158,,,,Print T-Shirts,,
159,,,,Pattern T-Shirt,,
160,,,,Uni T-Shirts,,
161,,,longsleeve-shirts,,,
162,,,shortsleeve-shirts,,,
163,,,Button-Downs & Oxfords,,,
164,,,Dress Shirts,,,
165,,,Henley & Rugby Shirts,,,
166,,,Polos,,,
167,,,Button down shirts,,,
168,,,Turtlenecks,,,
169,,,Casual shirts,,,
170,,shorts,,,,
171,,,sport shorts,,,
172,,,,basketball shorts,,
173,,,,bowling shorts,,
174,,,,cycling shorts,,
175,,,,football shorts,,
176,,,,hiking shorts,,
177,,,,Ice hokey shorts,,
178,,,,running shorts,,
179,,,,skateboarding shorts,,
180,,,,skiing shorts,,
181,,,,tennis shorts,,
182,,,,voleyball shorts,,
183,,,,Boxing Shorts,,
184,,,,Bicycle shorts,,
185,,,,Martial Arts Shorts,,
186,,,,golf shorts,,
187,,,,climbing shorts,,
188,,,,soccer shorts,,
189,,,,running shorts,,
190,,,Maternity shorts,,,
191,,,,Casual,,
192,,,,Denim,,
193,,,,Dress,,
194,,,Bermuda Shorts,,,
195,,,Casual,,,
196,,,Culottes,,,
197,,,Cutoffs,,,
198,,,Denim,,,
199,,,Denim Shorts,,,
200,,,Dress,,,
201,,,Knits & Elastic Waist,,,
202,,,Khaki,,,
203,,,skorts,,,
204,,,,sport skorts,,
205,,,,,tennis  skorts,
206,,skirts,,,,
207,,,sport skirts,,,
208,,,,tennis skirts,,
209,,,,dance skirts,,
210,,,Maternity skirts,,,
211,,,Mid-length-skirts,,,
212,,,Mini-skirts,,,
213,,,Long skirts,,,
